10,0.06720885
20,0.02544423
30,0.03512001
40,0.04383476
50,0.08633754
60,0.14465426
70,0.26034755
80,0.20575802
90,0.22746406
100,0.2234532
110,0.25959903
120,0.28988892
130,0.3043621
140,0.3987657
150,0.422517
160,0.44869748
170,0.49664646
180,0.51142406
190,0.6504595
200,0.7243686
210,0.677413
220,0.6412143
230,0.73812723
240,0.7837308
250,0.9867207
260,1.071297
270,1.1507454
280,1.0929703
290,1.4780912
300,1.2650324
310,1.3444917
320,1.3769577
330,1.5023979
340,1.7725905
350,1.8867387
360,1.686252
370,2.2643938
380,2.0212073
390,1.934154
400,2.1406603
410,2.3498607
420,2.279331
430,2.8909853
440,2.1749032
450,2.8267353
460,2.9585755
470,3.1404808
480,4.716837
490,5.1188197
500,4.9855967
